archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Cr_3d_altura_c002_s002_ed0.10_te28077._ep 3.9.dat,Cr,4.5767142099982605,6.181585557120439,0.6861509481911086,-0.7571153978969392,4.1552,18.0,0.0,4,0.0016,53.800000000000004,0.1,28077.0,0.0,coalescencia,12.16,0.0,0.0,0.0
Fe_3d_altura_c001_s002_ed0.84_te15040._ep 2.3.dat,Fe,4.858507490989388,6.5456550474341375,0.7285808559122209,-0.557763895467656,4.3864,21.0,0.0,8,0.0032,53.559999999999995,0.84,15040.0,0.0,coalescencia,13.4,0.04,0.0,0.0
Cr_3d_altura_c001_s001_ed0.06_te87450._ep 4.4.dat,Cr,2.6396730403593547,3.1360484690131942,1.3009855903080316,0.534942697987828,1.6932,12.0,0.0,90,0.036,33.12,0.06,87450.0,0.0,coalescencia,0.24,0.0,0.0,0.0
Fe_3d_altura_c001_s004_ed0.84_te15040._ep 2.3.dat,Fe,8.61466934014301,14.496854831307376,0.02651844474095863,-1.1592535608203844,11.6596,30.0,0.0,1,0.0004,76.52,0.84,15040.0,0.0,crecimiento,56.279999999999994,17.16,0.0,0.0
Cr_3d_altura_c001_s004_ed0.06_te87450._ep 4.4.dat,Cr,8.272296503390095,14.011095603128258,-0.004819792394829707,-1.1863630424159362,11.3084,30.0,0.0,1,0.0004,77.08,0.06,87450.0,0.0,crecimiento,56.32,15.040000000000001,0.0,0.0
Fe_3d_altura_c001_s005_ed0.84_te15040._ep 2.3.dat,Fe,9.747938448718273,18.34092691223647,-0.32586583141813974,-1.1621383633388078,15.536,30.0,0.0,1,0.0004,82.76,0.84,15040.0,0.0,crecimiento,68.92,38.64,0.0,0.0
Fe_3d_altura_c001_s003_ed0.84_te15040._ep 2.3.dat,Fe,6.863136495801318,10.396153134693622,0.3613437423076487,-0.9179573314132408,7.8088,28.0,0.0,1,0.0004,67.72,0.84,15040.0,0.0,crecimiento,37.44,3.2800000000000002,0.0,0.0
Fe_3d_altura_c002_s003_ed0.65_te66120._ep 2.8.dat,Fe,6.571957528773296,9.981923662300769,0.29119688110370145,-1.0939171924552509,7.5132,27.0,0.0,2,0.0008,67.47999999999999,0.65,66120.0,0.0,crecimiento,37.44,1.92,0.0,0.0
Cr_3d_altura_c002_s003_ed0.10_te28077._ep 3.9.dat,Cr,6.5702102980041674,9.941388233038683,0.3200810132046887,-1.1362247748933056,7.4608,25.0,0.0,1,0.0004,67.88,0.1,28077.0,0.0,crecimiento,35.4,1.92,0.0,0.0
Cr_3d_altura_c002_s001_ed0.10_te28077._ep 3.9.dat,Cr,2.582689296063311,3.0626132632116643,1.3057322518720231,0.5190754468130834,1.646,11.0,0.0,98,0.0392,32.76,0.1,28077.0,0.0,coalescencia,0.12,0.0,0.0,0.0
Fe_3d_altura_c002_s002_ed0.65_te66120._ep 2.8.dat,Fe,4.632844068172379,6.23127595280453,0.7153451489995246,-0.6407322214392415,4.1672,21.0,0.0,12,0.0048,53.28000000000001,0.65,66120.0,0.0,coalescencia,12.520000000000001,0.04,0.0,0.0
Cr_3d_altura_c001_s005_ed0.06_te87450._ep 4.4.dat,Cr,9.449373473410818,17.93482645580938,-0.32445660321917685,-1.126894142240645,15.2436,30.0,0.0,1,0.0004,83.64,0.06,87450.0,0.0,crecimiento,69.28,36.24,0.0,0.0
Fe_3d_altura_c002_s004_ed0.65_te66120._ep 2.8.dat,Fe,8.236552676939546,14.129090558135722,-0.05657766061796802,-1.1874955211724747,11.48,30.0,0.0,1,0.0004,77.44,0.65,66120.0,0.0,crecimiento,57.64,15.079999999999998,0.0,0.0
Cr_3d_altura_c001_s003_ed0.06_te87450._ep 4.4.dat,Cr,6.531001405603891,9.907996770286111,0.3167352305129906,-1.0888766937170051,7.4508,26.0,0.0,2,0.0008,67.88,0.06,87450.0,0.0,crecimiento,35.96,1.96,0.0,0.0
Cr_3d_altura_c002_s004_ed0.10_te28077._ep 3.9.dat,Cr,8.369556977522764,14.179576862516031,0.006321644903614922,-1.2272968452825075,11.446,30.0,0.0,1,0.0004,77.60000000000001,0.1,28077.0,0.0,crecimiento,55.32,17.24,0.0,0.0
Cr_3d_altura_c002_s006_ed0.10_te28077._ep 3.9.dat,Cr,9.689259406167224,18.11810144579172,-0.30275454908625987,-1.2086195298352442,15.3096,30.0,0.0,1,0.0004,83.16,0.1,28077.0,0.0,crecimiento,67.67999999999999,38.4,0.0,0.0
Fe_3d_altura_c002_s006_ed0.65_te66120._ep 2.8.dat,Fe,9.433867592880452,18.03153903581167,-0.3686074346683127,-1.099783035367676,15.3668,30.0,0.0,1,0.0004,83.39999999999999,0.65,66120.0,0.0,crecimiento,69.88,36.16,0.0,0.0
Fe_3d_altura_c002_s001_ed0.65_te66120._ep 2.8.dat,Fe,2.6300620220823694,3.1113983994339267,1.3230910887248357,0.5654415458605908,1.6624,12.0,0.0,92,0.0368,32.4,0.65,66120.0,0.0,coalescencia,0.16,0.0,0.0,0.0
Cr_3d_altura_c001_s006_ed0.06_te87450._ep 4.4.dat,Cr,9.449373473410818,17.93482645580938,-0.32445660321917685,-1.126894142240645,15.2436,30.0,0.0,1,0.0004,83.64,0.06,87450.0,0.0,crecimiento,69.28,36.24,0.0,0.0
Fe_3d_altura_c001_s006_ed0.84_te15040._ep 2.3.dat,Fe,9.747938448718273,18.34092691223647,-0.32586583141813974,-1.1621383633388078,15.536,30.0,0.0,1,0.0004,82.76,0.84,15040.0,0.0,crecimiento,68.92,38.64,0.0,0.0
Fe_3d_altura_c002_s005_ed0.65_te66120._ep 2.8.dat,Fe,9.433867592880452,18.03153903581167,-0.3686074346683127,-1.099783035367676,15.3668,30.0,0.0,1,0.0004,83.39999999999999,0.65,66120.0,0.0,crecimiento,69.88,36.16,0.0,0.0
Fe_3d_altura_c001_s001_ed0.84_te15040._ep 2.3.dat,Fe,2.7239434942744314,3.2147161616540894,1.357275994074894,0.6887242901873112,1.7072,12.0,0.0,96,0.0384,32.2,0.84,15040.0,0.0,coalescencia,0.36,0.0,0.0,0.0
Cr_3d_altura_c001_s002_ed0.06_te87450._ep 4.4.dat,Cr,4.645062341885198,6.307582738260355,0.6697703885295363,-0.7715612191454793,4.2672,20.0,0.0,13,0.0052,54.559999999999995,0.06,87450.0,0.0,coalescencia,13.44,0.0,0.0,0.0
Cr_3d_altura_c002_s005_ed0.10_te28077._ep 3.9.dat,Cr,9.689259406167224,18.11810144579172,-0.30275454908625987,-1.2086195298352442,15.3096,30.0,0.0,1,0.0004,83.16,0.1,28077.0,0.0,crecimiento,67.67999999999999,38.4,0.0,0.0
